"","Vote 1","Vote 2","Vote 3","Vote 4","Vote 5","Vote 6","Vote 7","Vote 8","Vote 9","Vote 10","Vote 11","Vote 12","Vote 13","Vote 14","Vote 15","Vote 16","Vote 17","Vote 18","Vote 19","Vote 20","Vote 21","Vote 22","Vote 23","Vote 24","Vote 25","Vote 26","Vote 27","Vote 28","Vote 29","Vote 30","Vote 31","Vote 32","Vote 33","Vote 34","Vote 35","Vote 36","Vote 37","Vote 38","Vote 39","Vote 40","Vote 41","Vote 42","Vote 43","Vote 44","Vote 45","Vote 46","Vote 47","Vote 48","Vote 49","Vote 50","Vote 51","Vote 52","Vote 53","Vote 54","Vote 55","Vote 56","Vote 57","Vote 58","Vote 59","Vote 60","Vote 61","Vote 62","Vote 63","Vote 64","Vote 65","Vote 66","Vote 67","Vote 68","Vote 69","Vote 70","Vote 71","Vote 72","Vote 73","Vote 74","Vote 75","Vote 76","Vote 77","Vote 78","Vote 79","Vote 80","Vote 81","Vote 82","Vote 83","Vote 84","Vote 85","Vote 86","Vote 87","Vote 88","Vote 89","Vote 90","Vote 91","Vote 92","Vote 93","Vote 94","Vote 95","Vote 96","Vote 97","Vote 98","Vote 99","Vote 100","Vote 101","Vote 102","Vote 103","Vote 104","Vote 105","Vote 106","Vote 107","Vote 108","Vote 109","Vote 110","Vote 111","Vote 112","Vote 113","Vote 114","Vote 115","Vote 116","Vote 117","Vote 118","Vote 119","Vote 120","Vote 121","Vote 122","Vote 123"
"PARKER (D GA-1)",1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1
"EDWARDS (D GA-1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COX (D GA-2)",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,NA,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,1,1,1,0,NA,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,NA,1,1,1,1
"CRISP (D GA-3)",1,1,1,1,1,NA,1,1,1,0,1,NA,0,NA,0,1,NA,1,1,NA,1,0,1,0,0,0,1,1,1,0,0,0,1,NA,1,1,1,1,0,1,1,1,1,1,0,NA,0,1,1,0,0,0,0,NA,0,1,1,1,0,1,0,0,0,0,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASTELLOW (D GA-3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1
"WRIGHT (D GA-4)",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,NA,NA,1,NA,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,NA,0,0,0,0,0,1,1,1,0,1,NA,1,1,NA
"RAMSPECK (D GA-5)",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,NA,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
"RUTHERFORD (D GA-6)",1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOBLEY (D GA-6)",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,NA,1,0,1,0,1,1,1,NA,0,1,1,1,1,1,NA,1,1,1,NA,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,NA,1,1,1,NA,1,1,1,1,0,1,0,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"TARVER (D GA-7)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,NA,NA,NA,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0
"BRAND (D GA-8)",1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,NA,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,1,NA
"WOOD (D GA-9)",1,1,1,0,1,1,1,1,0,1,NA,NA,0,1,0,1,1,1,1,0,1,0,NA,NA,1,1,0,0,NA,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,NA,1,NA,1,1,NA,1,NA,1,NA,1,1,1,0,1,0,0,0,0,NA,1,1,1,0,NA,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,NA,0,1,1,0
"VINSON (D GA-10)",1,1,1,1,1,NA,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,NA,1,1,1,1,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1
"LANKFORD (D GA-11)",1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,NA,1,NA,0,1,1,1,1,1,0,0,1,0,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,NA,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1
"LARSEN (D GA-12)",1,1,1,0,1,NA,1,1,1,NA,NA,1,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,NA,NA,1,0,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,NA,NA,1,1,1,NA,1,1,1,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,0,1,1,1,1,1
"FRENCH (R ID-1)",1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,1,1,1,1,1,0,1,1,NA,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,NA,0,1,1,1,0,0,0,0,NA,0,0,1
"SMITH (R ID-2)",1,0,NA,1,1,1,0,0,1,0,0,1,1,1,1,1,1,NA,1,NA,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,NA,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,NA,0,0,0,0,1,0,1,1,1,1,1,0,NA,NA,0,NA,1,1,NA,1,1,NA,1,0,1,0,1,1,1,0,0,0,NA,NA,1,NA,0,1,NA,NA,NA,NA,0,NA,NA,0,0,NA
"DE (R IL-1)",1,0,1,1,0,0,0,0,NA,NA,NA,0,NA,1,1,0,NA,1,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,0,1,1,1,1,1,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,1,NA,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,NA,1,1,1,NA,0,1,1,0,1,NA,NA,1
"HULL (R IL-2)",1,0,NA,1,0,1,0,1,NA,0,0,1,0,1,1,1,0,0,1,0,NA,1,NA,0,0,0,0,1,NA,1,1,NA,0,1,1,0,1,0,0,1,0,0,0,1,1,NA,1,NA,1,0,0,0,0,0,0,NA,0,0,1,0,1,0,0,0,1,NA,1,0,1,0,0,NA,1,NA,0,0,1,NA,0,1,0,0,NA,0,NA,NA,0,1,1,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,1,0,NA,NA,1,0,1,1,1,NA,0,1,1,1,1
"KELLY (D IL-3)",1,1,1,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,NA,NA,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,0,1,NA,1,NA,1,0,1,1,1,1,1,NA,NA,0,1,1,0,1,NA,1,1,1,0,1,0,0,0
"BEAM (D IL-4)",1,1,1,1,NA,0,1,1,1,0,1,1,NA,1,0,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,NA,NA,1,1,1,1,1,0,1,NA,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,0,1,0,0,0,1,0,1,1,NA,NA,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,1,NA,1,1,1,0
"SABATH (D IL-5)",1,1,1,1,NA,0,1,1,1,0,1,0,NA,1,0,1,NA,0,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,1,1,0,1,0,1,0,1,1,1,NA,0,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,1,NA,NA
"IGOE (D IL-6)",1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"SCHUETZ (D IL-7)",1,1,1,1,NA,0,1,1,1,NA,1,1,NA,1,0,1,0,NA,1,1,1,1,1,NA,NA,NA,NA,0,1,0,0,NA,1,0,0,1,1,1,1,1,1,1,1,0,0,0,NA,NA,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,1,0,1,1,NA,1,0,1,0,NA,NA,1,0,1,1,NA,NA,1,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,1,0,1,1,NA,NA,NA,1,1,1,NA,1,0,0,1
"GRANATA (R IL-8)",1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,1,1,1,0,1,1,1,1,1,0,NA,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KUNZ (D IL-8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,NA,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,NA,1,1,1,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,1,1,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,0,0,NA,1,NA,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,NA,1,1
"BRITTEN (R IL-9)",1,0,1,NA,0,0,0,0,1,1,0,NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,0,0,1,1,0,1,1,NA,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,NA,1,NA,0,0,1,0,0,0,0,0,1,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,NA,1,1,1,0,1,1,NA,NA,1,0,1,0,0,1
"CHINDBLOM (R IL-10)",1,0,1,1,0,1,0,0,1,0,0,NA,0,1,1,1,0,1,NA,NA,1,1,1,NA,0,0,0,1,NA,1,1,1,1,1,1,0,0,NA,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,NA,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,NA
"REID (R IL-11)",1,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,0,0,1,1,1,1,0,0,0,0,0,0,1,NA,0,1,1,1,1,1,0,NA,1,1,0,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,1,1,1,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,0,1,1,1,NA
"BUCKBEE (R IL-12)",1,0,1,1,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,NA,0,0,0,0,NA,0,1,1,1,1,0,0,NA,1,0,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,1,1,1,NA,NA,NA,1,1,NA,0,NA,0,1,1,1,0,1,0,NA,NA,1,1,1,1,1,NA,0,1,1,0,1,0,0,1
"JOHNSON (R IL-13)",1,NA,NA,1,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"ALLEN (R IL-14)",1,0,1,1,NA,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,NA,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,0,NA,1,NA,NA,NA,1,NA,1,0,1,0,1,1,1,0,0,0,1,1,1,NA,0,1,1,1,0,NA,0,0,0,0,0,NA
"CHIPERFIELD (R IL-15)",1,0,1,1,NA,1,0,0,1,0,0,NA,NA,1,1,0,0,NA,1,0,1,0,0,NA,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,NA,1,0,0,1,1,1,1,0,0,0,NA,0,1,0,1,0,0,0,1,NA,NA,0,1,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,1,NA,0,0,1,0,1,0,1,1,1,0,NA,0,NA,1,1,NA,0,1,1,1,NA,NA,0,NA,NA,0,0,NA
"HULL (R IL-16)",1,0,1,1,NA,1,0,0,1,NA,NA,NA,0,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,0,NA,NA,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,0,0,0,0,1,0,0,1,0,NA,NA,1,0,1,1,1,NA,NA,NA,NA,1,0,NA,NA,1,0,1,1,1,0,1,0,NA,1,1,1,1,NA,NA,NA,0,1,1,NA,NA,NA,0,NA
"HALL (R IL-17)",1,0,1,1,NA,1,0,0,1,1,0,0,1,1,1,1,0,NA,NA,NA,1,0,1,0,0,0,1,1,NA,1,1,0,1,1,1,0,NA,NA,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,NA,NA,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,NA,0,1,1,NA,0,1,0,0,0,0,0,NA
"HOLADAY (R IL-18)",1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,0,NA,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,1,NA,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,NA,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,NA,1,1,NA,0,0,0,1,0,NA,0,0,NA,0,0,NA
"ADKINS (R IL-19)",1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"RAINEY (D IL-20)",1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,NA,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,NA,NA,NA,1,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,NA,1,1,1,1
"MAJOR (D IL-21)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1
"KARCH (D IL-22)",1,1,1,1,1,1,1,1,1,0,1,NA,1,1,0,1,1,0,1,1,1,1,1,NA,1,1,0,1,1,0,0,NA,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,NA,1,0,0,0,0,1,1,NA,0,1,0,1,NA,1,1,1,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARNOLD (D IL-23)",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,NA,NA,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,0,1,0,0,NA,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,NA,0,1,1,1
"PARSONS (D IL-24)",1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1
"KELLER (D IL-25)",1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,NA,1,1,1,1,1,NA,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,NA,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1
"DIETERICH (D IL-99)",1,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,0,0,1,1,1,0,1,NA,NA,NA,1,1,1,NA,0,NA,NA,1,NA,1,1,1,1,1,0,1,NA,NA,1,0,1,0,1,1,1,0,0,1,0,0,1,1,NA,NA,1,1,1,0,1,1,1,1,0,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,1,1,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"YATES (R IL-99)",1,0,1,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,0,NA,1,1,1,1,NA,1,1,1,1,NA,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,NA,0,0,1,0,1,0,NA,1,1,1,1,NA,NA,0,1,NA,0,0,1,NA,NA,0,0,0,0,1,0,0,1,NA,NA,NA,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,1,NA,0,1,1,1,NA,NA,0,NA,NA,0,NA,NA
